INBOUND_DATE,MATERIAL_NAME,PLANT_NAME,total_quantity
2023/11/03,MAT-0237,CHINA-WAREHOUSE,297.0
2023/11/07,MAT-0085,SINGAPORE-WAREHOUSE,23.375
2023/11/07,MAT-0116,SINGAPORE-WAREHOUSE,46.75
2023/11/07,MAT-0309,SINGAPORE-WAREHOUSE,49.5
2023/11/09,MAT-0009,CHINA-WAREHOUSE,62.4
2023/11/09,MAT-0332,CHINA-WAREHOUSE,160.0
2023/11/11,MAT-0229,CHINA-WAREHOUSE,247.5
2023/11/13,MAT-0007,CHINA-WAREHOUSE,93.5
2023/11/13,MAT-0099,CHINA-WAREHOUSE,123.75
2023/11/13,MAT-0273,SINGAPORE-WAREHOUSE,24.75
2023/11/13,MAT-0354,SINGAPORE-WAREHOUSE,24.75
2023/11/16,MAT-0068,SINGAPORE-WAREHOUSE,24.75
2023/11/18,MAT-0395,SINGAPORE-WAREHOUSE,148.5
2023/11/18,MAT-0345,SINGAPORE-WAREHOUSE,120.0
2023/11/18,MAT-0237,CHINA-WAREHOUSE,239.25
2023/11/18,MAT-0112,SINGAPORE-WAREHOUSE,247.5
2023/11/18,MAT-0099,CHINA-WAREHOUSE,148.5
2023/11/18,MAT-0062,SINGAPORE-WAREHOUSE,173.25
2023/11/18,MAT-0228,SINGAPORE-WAREHOUSE,198.0
2023/11/20,MAT-0413,SINGAPORE-WAREHOUSE,495.0
2023/11/22,MAT-0164,SINGAPORE-WAREHOUSE,46.75
2023/11/22,MAT-0207,SINGAPORE-WAREHOUSE,23.375
2023/11/22,MAT-0211,SINGAPORE-WAREHOUSE,24.75
2023/11/22,MAT-0218,SINGAPORE-WAREHOUSE,99.0
2023/11/22,MAT-0367,SINGAPORE-WAREHOUSE,24.75
2023/11/23,MAT-0421,SINGAPORE-WAREHOUSE,495.0
2023/11/23,MAT-0007,CHINA-WAREHOUSE,140.25
2023/11/23,MAT-0237,SINGAPORE-WAREHOUSE,742.5
2023/11/24,MAT-0193,CHINA-WAREHOUSE,157.08
2023/11/24,MAT-0332,CHINA-WAREHOUSE,200.0
2023/11/24,MAT-0009,CHINA-WAREHOUSE,166.4
2023/11/26,MAT-0413,SINGAPORE-WAREHOUSE,247.5
2023/11/29,MAT-0056,CHINA-WAREHOUSE,123.75
2023/11/30,MAT-0085,SINGAPORE-WAREHOUSE,49.5
2023/11/30,MAT-0237,SINGAPORE-WAREHOUSE,247.5
2023/11/30,MAT-0386,CHINA-WAREHOUSE,148.5
2023/12/01,MAT-0221,SINGAPORE-WAREHOUSE,90.0
2023/12/01,MAT-0009,CHINA-WAREHOUSE,124.8
2023/12/01,MAT-0099,CHINA-WAREHOUSE,24.75
2023/12/01,MAT-0303,SINGAPORE-WAREHOUSE,120.0
2023/12/01,MAT-0378,CHINA-WAREHOUSE,99.0
2023/12/02,MAT-0046,SINGAPORE-WAREHOUSE,99.0
2023/12/02,MAT-0210,SINGAPORE-WAREHOUSE,24.75
2023/12/02,MAT-0364,SINGAPORE-WAREHOUSE,24.75
2023/12/03,MAT-0017,CHINA-WAREHOUSE,120.0
2023/12/03,MAT-0332,CHINA-WAREHOUSE,1500.0
2023/12/03,MAT-0198,CHINA-WAREHOUSE,147.8
2023/12/03,MAT-0009,CHINA-WAREHOUSE,499.2
2023/12/03,MAT-0056,SINGAPORE-WAREHOUSE,123.75
2023/12/04,MAT-0046,CHINA-WAREHOUSE,246.375
2023/12/04,MAT-0198,CHINA-WAREHOUSE,49.5
2023/12/04,MAT-0332,CHINA-WAREHOUSE,80.0
2023/12/05,MAT-0378,CHINA-WAREHOUSE,93.5
2023/12/05,MAT-0062,SINGAPORE-WAREHOUSE,24.75
2023/12/05,MAT-0099,SINGAPORE-WAREHOUSE,247.5
2023/12/05,MAT-0112,CHINA-WAREHOUSE,148.5
2023/12/05,MAT-0112,SINGAPORE-WAREHOUSE,233.75
2023/12/05,MAT-0222,SINGAPORE-WAREHOUSE,148.5
2023/12/05,MAT-0413,SINGAPORE-WAREHOUSE,247.5
2023/12/07,MAT-0207,CHINA-WAREHOUSE,24.75
2023/12/07,MAT-0202,CHINA-WAREHOUSE,46.75
2023/12/07,MAT-0346,SINGAPORE-WAREHOUSE,420.75
2023/12/07,MAT-0112,CHINA-WAREHOUSE,297.0
2023/12/07,MAT-0056,CHINA-WAREHOUSE,371.25
2023/12/07,MAT-0162,CHINA-WAREHOUSE,24.75
2023/12/08,MAT-0056,SINGAPORE-WAREHOUSE,247.5
2023/12/08,MAT-0218,CHINA-WAREHOUSE,24.75
2023/12/08,MAT-0267,SINGAPORE-WAREHOUSE,49.5
2023/12/10,MAT-0009,CHINA-WAREHOUSE,20.799999999999997
2023/12/10,MAT-0332,CHINA-WAREHOUSE,40.0
2023/12/11,MAT-0109,SINGAPORE-WAREHOUSE,198.0
2023/12/11,MAT-0229,CHINA-WAREHOUSE,99.0
2023/12/13,MAT-0314,CHINA-WAREHOUSE,510.0
2023/12/13,MAT-0349,SINGAPORE-WAREHOUSE,74.25
2023/12/14,MAT-0413,SINGAPORE-WAREHOUSE,148.5
2023/12/15,MAT-0386,CHINA-WAREHOUSE,140.25
2023/12/15,MAT-0354,SINGAPORE-WAREHOUSE,23.375
2023/12/15,MAT-0305,SINGAPORE-WAREHOUSE,74.25
2023/12/15,MAT-0274,SINGAPORE-WAREHOUSE,46.75
2023/12/15,MAT-0099,SINGAPORE-WAREHOUSE,247.5
2023/12/15,MAT-0111,CHINA-WAREHOUSE,140.25
2023/12/16,MAT-0314,CHINA-WAREHOUSE,255.0
2023/12/16,MAT-0328,CHINA-WAREHOUSE,255.0
2023/12/17,MAT-0056,CHINA-WAREHOUSE,123.75
2023/12/17,MAT-0056,SINGAPORE-WAREHOUSE,123.75
2023/12/17,MAT-0084,CHINA-WAREHOUSE,148.5
2023/12/17,MAT-0270,CHINA-WAREHOUSE,255.0
2023/12/17,MAT-0314,CHINA-WAREHOUSE,76.5
2023/12/17,MAT-0321,CHINA-WAREHOUSE,297.0
2023/12/17,MAT-0328,CHINA-WAREHOUSE,255.0
2023/12/17,MAT-0375,CHINA-WAREHOUSE,76.5
2023/12/18,MAT-0415,SINGAPORE-WAREHOUSE,198.0
2023/12/18,MAT-0378,CHINA-WAREHOUSE,140.25
2023/12/18,MAT-0386,CHINA-WAREHOUSE,24.75
2023/12/18,MAT-0340,SINGAPORE-WAREHOUSE,470.25
2023/12/18,MAT-0180,CHINA-WAREHOUSE,46.75
2023/12/18,MAT-0346,SINGAPORE-WAREHOUSE,74.25
2023/12/19,MAT-0056,CHINA-WAREHOUSE,49.5
2023/12/19,MAT-0147,CHINA-WAREHOUSE,127.5
2023/12/19,MAT-0265,CHINA-WAREHOUSE,148.5
2023/12/19,MAT-0321,CHINA-WAREHOUSE,148.5
2023/12/21,MAT-0009,CHINA-WAREHOUSE,104.0
2023/12/21,MAT-0046,SINGAPORE-WAREHOUSE,99.0
2023/12/21,MAT-0135,SINGAPORE-WAREHOUSE,99.0
2023/12/21,MAT-0304,SINGAPORE-WAREHOUSE,22.5
2023/12/21,MAT-0332,CHINA-WAREHOUSE,280.0
2023/12/21,MAT-0344,SINGAPORE-WAREHOUSE,24.75
2023/12/21,MAT-0355,SINGAPORE-WAREHOUSE,49.5
2023/12/21,MAT-0430,CHINA-WAREHOUSE,24.75
2023/12/22,MAT-0386,CHINA-WAREHOUSE,148.5
2023/12/22,MAT-0413,SINGAPORE-WAREHOUSE,148.5
2023/12/22,MAT-0007,CHINA-WAREHOUSE,99.0
2023/12/23,MAT-0007,CHINA-WAREHOUSE,247.5
2023/12/23,MAT-0062,SINGAPORE-WAREHOUSE,198.0
2023/12/23,MAT-0105,SINGAPORE-WAREHOUSE,24.75
2023/12/23,MAT-0180,SINGAPORE-WAREHOUSE,74.25
2023/12/23,MAT-0198,CHINA-WAREHOUSE,197.225
2023/12/23,MAT-0267,SINGAPORE-WAREHOUSE,445.5
2023/12/23,MAT-0314,CHINA-WAREHOUSE,255.0
2023/12/23,MAT-0415,SINGAPORE-WAREHOUSE,198.0
2023/12/24,MAT-0302,SINGAPORE-WAREHOUSE,123.75
2023/12/26,MAT-0053,CHINA-WAREHOUSE,74.25
2023/12/26,MAT-0247,SINGAPORE-WAREHOUSE,247.5
2023/12/26,MAT-0265,CHINA-WAREHOUSE,445.5
2023/12/26,MAT-0317,CHINA-WAREHOUSE,148.5
2023/12/26,MAT-0321,CHINA-WAREHOUSE,148.5
2023/12/26,MAT-0353,CHINA-WAREHOUSE,148.5
2023/12/27,MAT-0353,CHINA-WAREHOUSE,148.5
2023/12/27,MAT-0379,CHINA-WAREHOUSE,297.0
2023/12/27,MAT-0323,CHINA-WAREHOUSE,24.0
2023/12/27,MAT-0391,CHINA-WAREHOUSE,24.75
2023/12/27,MAT-0195,CHINA-WAREHOUSE,147.825
2023/12/27,MAT-0097,CHINA-WAREHOUSE,148.5
2023/12/27,MAT-0072,SINGAPORE-WAREHOUSE,99.0
2023/12/27,MAT-0197,CHINA-WAREHOUSE,1.5
2023/12/28,MAT-0042,CHINA-WAREHOUSE,148.5
2023/12/28,MAT-0261,CHINA-WAREHOUSE,76.5
2023/12/28,MAT-0265,CHINA-WAREHOUSE,148.5
2023/12/28,MAT-0266,CHINA-WAREHOUSE,148.5
2023/12/28,MAT-0353,CHINA-WAREHOUSE,148.5
2023/12/28,MAT-0379,CHINA-WAREHOUSE,99.0
2023/12/29,MAT-0378,CHINA-WAREHOUSE,148.5
2023/12/29,MAT-0356,CHINA-WAREHOUSE,123.75
2023/12/29,MAT-0340,SINGAPORE-WAREHOUSE,24.75
2023/12/29,MAT-0397,CHINA-WAREHOUSE,25.5
2023/12/29,MAT-0115,SINGAPORE-WAREHOUSE,24.75
2023/12/29,MAT-0007,CHINA-WAREHOUSE,148.5
2023/12/29,MAT-0276,CHINA-WAREHOUSE,148.5
2023/12/30,MAT-0062,SINGAPORE-WAREHOUSE,198.0
2023/12/30,MAT-0066,SINGAPORE-WAREHOUSE,24.75
2023/12/30,MAT-0104,SINGAPORE-WAREHOUSE,24.75
2023/12/30,MAT-0174,SINGAPORE-WAREHOUSE,24.75
2023/12/30,MAT-0340,SINGAPORE-WAREHOUSE,742.5
2023/12/30,MAT-0413,CHINA-WAREHOUSE,148.5
2023/12/31,MAT-0379,CHINA-WAREHOUSE,99.0
2023/12/31,MAT-0322,CHINA-WAREHOUSE,99.0
2023/12/31,MAT-0319,CHINA-WAREHOUSE,148.5
2023/12/31,MAT-0234,SINGAPORE-WAREHOUSE,247.5
2023/12/31,MAT-0035,CHINA-WAREHOUSE,247.5
2023/12/31,MAT-0116,SINGAPORE-WAREHOUSE,74.25
2023/12/31,MAT-0085,SINGAPORE-WAREHOUSE,99.0
2023/12/31,MAT-0413,CHINA-WAREHOUSE,99.0
2023/12/31,MAT-0229,CHINA-WAREHOUSE,247.5
2024/01/01,MAT-0056,SINGAPORE-WAREHOUSE,123.75
2024/01/02,MAT-0366,SINGAPORE-WAREHOUSE,22.5
2024/01/03,MAT-0097,CHINA-WAREHOUSE,148.5
2024/01/03,MAT-0247,SINGAPORE-WAREHOUSE,321.75
2024/01/03,MAT-0264,CHINA-WAREHOUSE,148.5
2024/01/03,MAT-0265,CHINA-WAREHOUSE,297.0
2024/01/03,MAT-0302,SINGAPORE-WAREHOUSE,123.75
2024/01/04,MAT-0379,CHINA-WAREHOUSE,297.0
2024/01/04,MAT-0332,CHINA-WAREHOUSE,220.0
2024/01/04,MAT-0323,CHINA-WAREHOUSE,76.5
2024/01/04,MAT-0321,CHINA-WAREHOUSE,445.5
2024/01/04,MAT-0319,CHINA-WAREHOUSE,445.5
2024/01/04,MAT-0273,SINGAPORE-WAREHOUSE,49.5
2024/01/04,MAT-0261,CHINA-WAREHOUSE,178.5
2024/01/04,MAT-0037,SINGAPORE-WAREHOUSE,24.75
2024/01/05,MAT-0349,SINGAPORE-WAREHOUSE,74.25
2024/01/05,MAT-0413,CHINA-WAREHOUSE,148.5
2024/01/06,MAT-0413,CHINA-WAREHOUSE,148.5
2024/01/06,MAT-0382,CHINA-WAREHOUSE,148.5
2024/01/06,MAT-0354,CHINA-WAREHOUSE,49.5
2024/01/06,MAT-0221,SINGAPORE-WAREHOUSE,135.0
2024/01/06,MAT-0122,SINGAPORE-WAREHOUSE,37.5
2024/01/06,MAT-0345,SINGAPORE-WAREHOUSE,56.25
2024/01/07,MAT-0379,CHINA-WAREHOUSE,297.0
2024/01/07,MAT-0001,CHINA-WAREHOUSE,1708.5
2024/01/07,MAT-0055,CHINA-WAREHOUSE,24.75
2024/01/07,MAT-0146,CHINA-WAREHOUSE,445.5
2024/01/07,MAT-0174,CHINA-WAREHOUSE,24.75
2024/01/07,MAT-0211,SINGAPORE-WAREHOUSE,49.5
2024/01/07,MAT-0250,SINGAPORE-WAREHOUSE,24.75
2024/01/07,MAT-0317,CHINA-WAREHOUSE,148.5
2024/01/07,MAT-0319,CHINA-WAREHOUSE,297.0
2024/01/07,MAT-0321,CHINA-WAREHOUSE,148.5
2024/01/07,MAT-0353,CHINA-WAREHOUSE,148.5
2024/01/07,MAT-0375,CHINA-WAREHOUSE,51.0
2024/01/07,MAT-0428,CHINA-WAREHOUSE,148.5
2024/01/08,MAT-0056,SINGAPORE-WAREHOUSE,371.25
2024/01/08,MAT-0056,CHINA-WAREHOUSE,123.75
2024/01/09,MAT-0259,CHINA-WAREHOUSE,112.5
2024/01/10,MAT-0013,CHINA-WAREHOUSE,153.0
2024/01/10,MAT-0146,CHINA-WAREHOUSE,148.5
2024/01/10,MAT-0371,SINGAPORE-WAREHOUSE,210.0
2024/01/10,MAT-0389,CHINA-WAREHOUSE,892.5
2024/01/11,MAT-0328,CHINA-WAREHOUSE,102.0
2024/01/11,MAT-0301,SINGAPORE-WAREHOUSE,74.25
2024/01/11,MAT-0276,CHINA-WAREHOUSE,148.5
2024/01/11,MAT-0112,CHINA-WAREHOUSE,280.5
2024/01/11,MAT-0210,SINGAPORE-WAREHOUSE,123.75
2024/01/11,MAT-0339,CHINA-WAREHOUSE,25.5
2024/01/11,MAT-0032,CHINA-WAREHOUSE,153.0
2024/01/11,MAT-0007,CHINA-WAREHOUSE,148.5
2024/01/11,MAT-0066,CHINA-WAREHOUSE,74.25
2024/01/11,MAT-0065,SINGAPORE-WAREHOUSE,123.75
2024/01/12,MAT-0413,CHINA-WAREHOUSE,247.5
2024/01/12,MAT-0371,SINGAPORE-WAREHOUSE,147.0
2024/01/12,MAT-0270,CHINA-WAREHOUSE,76.5
2024/01/14,MAT-0265,CHINA-WAREHOUSE,297.0
2024/01/14,MAT-0371,SINGAPORE-WAREHOUSE,168.0
2024/01/14,MAT-0356,CHINA-WAREHOUSE,49.5
2024/01/14,MAT-0321,CHINA-WAREHOUSE,148.5
2024/01/14,MAT-0176,CHINA-WAREHOUSE,51.0
2024/01/14,MAT-0109,SINGAPORE-WAREHOUSE,74.25
2024/01/14,MAT-0142,CHINA-WAREHOUSE,204.0
2024/01/14,MAT-0097,CHINA-WAREHOUSE,74.25
2024/01/14,MAT-0067,CHINA-WAREHOUSE,24.75
2024/01/14,MAT-0147,CHINA-WAREHOUSE,76.5
2024/01/15,MAT-0067,SINGAPORE-WAREHOUSE,24.75
2024/01/15,MAT-0116,SINGAPORE-WAREHOUSE,24.75
2024/01/15,MAT-0413,CHINA-WAREHOUSE,99.0
2024/01/16,MAT-0268,CHINA-WAREHOUSE,229.5
2024/01/16,MAT-0316,CHINA-WAREHOUSE,148.5
2024/01/16,MAT-0332,CHINA-WAREHOUSE,7.0
2024/01/16,MAT-0335,SINGAPORE-WAREHOUSE,247.5
2024/01/16,MAT-0104,CHINA-WAREHOUSE,12.375
2024/01/16,MAT-0359,SINGAPORE-WAREHOUSE,49.5
2024/01/16,MAT-0388,CHINA-WAREHOUSE,99.0
2024/01/16,MAT-0390,SINGAPORE-WAREHOUSE,247.5
2024/01/16,MAT-0250,CHINA-WAREHOUSE,12.375
2024/01/16,MAT-0340,SINGAPORE-WAREHOUSE,247.5
2024/01/16,MAT-0234,SINGAPORE-WAREHOUSE,247.5
2024/01/16,MAT-0089,SINGAPORE-WAREHOUSE,24.75
2024/01/16,MAT-0207,SINGAPORE-WAREHOUSE,24.75
2024/01/16,MAT-0201,CHINA-WAREHOUSE,357.0
2024/01/16,MAT-0174,SINGAPORE-WAREHOUSE,49.5
2024/01/16,MAT-0146,CHINA-WAREHOUSE,148.5
2024/01/16,MAT-0145,CHINA-WAREHOUSE,510.0
2024/01/16,MAT-0111,CHINA-WAREHOUSE,99.0
2024/01/16,MAT-0105,SINGAPORE-WAREHOUSE,49.5
2024/01/16,MAT-0099,SINGAPORE-WAREHOUSE,148.5
2024/01/16,MAT-0211,SINGAPORE-WAREHOUSE,24.75
2024/01/17,MAT-0316,CHINA-WAREHOUSE,297.0
2024/01/17,MAT-0264,CHINA-WAREHOUSE,148.5
2024/01/17,MAT-0145,CHINA-WAREHOUSE,1020.0
2024/01/17,MAT-0144,CHINA-WAREHOUSE,510.0
2024/01/18,MAT-0097,CHINA-WAREHOUSE,148.5
2024/01/18,MAT-0268,CHINA-WAREHOUSE,102.0
2024/01/18,MAT-0325,CHINA-WAREHOUSE,148.5
2024/01/18,MAT-0373,CHINA-WAREHOUSE,16.5
2024/01/18,MAT-0382,CHINA-WAREHOUSE,148.5
2024/01/18,MAT-0386,CHINA-WAREHOUSE,23.375
2024/01/18,MAT-0390,CHINA-WAREHOUSE,297.0
2024/01/19,MAT-0321,CHINA-WAREHOUSE,148.5
2024/01/21,MAT-0335,SINGAPORE-WAREHOUSE,742.5
2024/01/21,MAT-0316,CHINA-WAREHOUSE,148.5
2024/01/21,MAT-0390,CHINA-WAREHOUSE,93.5
2024/01/21,MAT-0340,SINGAPORE-WAREHOUSE,247.5
2024/01/21,MAT-0304,SINGAPORE-WAREHOUSE,22.5
2024/01/21,MAT-0117,CHINA-WAREHOUSE,22.5
2024/01/21,MAT-0234,SINGAPORE-WAREHOUSE,247.5
2024/01/21,MAT-0218,CHINA-WAREHOUSE,23.375
2024/01/21,MAT-0273,SINGAPORE-WAREHOUSE,99.0
2024/01/21,MAT-0035,CHINA-WAREHOUSE,148.5
2024/01/22,MAT-0345,SINGAPORE-WAREHOUSE,18.75
2024/01/22,MAT-0318,CHINA-WAREHOUSE,148.5
2024/01/22,MAT-0316,CHINA-WAREHOUSE,148.5
2024/01/22,MAT-0303,SINGAPORE-WAREHOUSE,112.5
2024/01/22,MAT-0266,CHINA-WAREHOUSE,148.5
2024/01/22,MAT-0259,CHINA-WAREHOUSE,135.0
2024/01/22,MAT-0137,CHINA-WAREHOUSE,148.5
2024/01/22,MAT-0122,SINGAPORE-WAREHOUSE,37.5
2024/01/22,MAT-0049,CHINA-WAREHOUSE,74.25
2024/01/23,MAT-0428,CHINA-WAREHOUSE,198.0
2024/01/23,MAT-0382,CHINA-WAREHOUSE,148.5
2024/01/23,MAT-0356,SINGAPORE-WAREHOUSE,49.5
2024/01/23,MAT-0321,CHINA-WAREHOUSE,297.0
2024/01/23,MAT-0145,CHINA-WAREHOUSE,765.0
2024/01/23,MAT-0151,CHINA-WAREHOUSE,148.5
2024/01/23,MAT-0144,CHINA-WAREHOUSE,178.5
2024/01/23,MAT-0319,CHINA-WAREHOUSE,297.0
2024/01/24,MAT-0234,SINGAPORE-WAREHOUSE,222.75
2024/01/24,MAT-0390,CHINA-WAREHOUSE,148.5
2024/01/24,MAT-0382,CHINA-WAREHOUSE,297.0
2024/01/24,MAT-0335,SINGAPORE-WAREHOUSE,247.5
2024/01/24,MAT-0334,CHINA-WAREHOUSE,49.5
2024/01/24,MAT-0319,CHINA-WAREHOUSE,297.0
2024/01/24,MAT-0309,SINGAPORE-WAREHOUSE,49.5
2024/01/24,MAT-0276,CHINA-WAREHOUSE,116.875
2024/01/24,MAT-0211,SINGAPORE-WAREHOUSE,24.75
2024/01/24,MAT-0332,CHINA-WAREHOUSE,1800.0
2024/01/24,MAT-0164,SINGAPORE-WAREHOUSE,24.75
2024/01/24,MAT-0160,CHINA-WAREHOUSE,24.75
2024/01/24,MAT-0145,CHINA-WAREHOUSE,255.0
2024/01/24,MAT-0112,SINGAPORE-WAREHOUSE,247.5
2024/01/24,MAT-0207,SINGAPORE-WAREHOUSE,49.5
2024/01/24,MAT-0105,CHINA-WAREHOUSE,24.75
2024/01/24,MAT-0068,SINGAPORE-WAREHOUSE,123.75
2024/01/24,MAT-0035,CHINA-WAREHOUSE,247.5
2024/01/24,MAT-0007,CHINA-WAREHOUSE,148.5
2024/01/25,MAT-0413,CHINA-WAREHOUSE,198.0
2024/01/26,MAT-0056,SINGAPORE-WAREHOUSE,123.75
2024/01/27,MAT-0419,SINGAPORE-WAREHOUSE,123.75
2024/01/27,MAT-0374,SINGAPORE-WAREHOUSE,49.5
2024/01/27,MAT-0318,CHINA-WAREHOUSE,148.5
2024/01/27,MAT-0112,CHINA-WAREHOUSE,148.5
2024/01/27,MAT-0164,CHINA-WAREHOUSE,24.75
2024/01/27,MAT-0121,SINGAPORE-WAREHOUSE,99.0
2024/01/27,MAT-0202,CHINA-WAREHOUSE,24.75
2024/01/28,MAT-0332,CHINA-WAREHOUSE,600.0
2024/01/30,MAT-0316,CHINA-WAREHOUSE,445.5
2024/01/30,MAT-0374,CHINA-WAREHOUSE,49.5
2024/01/30,MAT-0382,CHINA-WAREHOUSE,148.5
2024/01/30,MAT-0270,CHINA-WAREHOUSE,255.0
2024/01/30,MAT-0145,CHINA-WAREHOUSE,178.5
2024/01/30,MAT-0236,CHINA-WAREHOUSE,99.0
2024/01/30,MAT-0153,CHINA-WAREHOUSE,594.0
2024/01/30,MAT-0049,CHINA-WAREHOUSE,148.5
2024/01/30,MAT-0265,CHINA-WAREHOUSE,148.5
2024/01/31,MAT-0176,CHINA-WAREHOUSE,127.5
2024/01/31,MAT-0303,SINGAPORE-WAREHOUSE,157.5
2024/01/31,MAT-0328,CHINA-WAREHOUSE,127.5
2024/01/31,MAT-0332,CHINA-WAREHOUSE,340.0
2024/02/01,MAT-0392,CHINA-WAREHOUSE,23.375
2024/02/01,MAT-0319,CHINA-WAREHOUSE,99.0
2024/02/01,MAT-0175,CHINA-WAREHOUSE,23.375
2024/02/01,MAT-0318,CHINA-WAREHOUSE,297.0
2024/02/02,MAT-0327,SINGAPORE-WAREHOUSE,71.5
2024/02/02,MAT-0386,CHINA-WAREHOUSE,24.75
2024/02/02,MAT-0382,CHINA-WAREHOUSE,297.0
2024/02/02,MAT-0380,CHINA-WAREHOUSE,93.5
2024/02/02,MAT-0323,CHINA-WAREHOUSE,255.0
2024/02/02,MAT-0112,CHINA-WAREHOUSE,148.5
2024/02/02,MAT-0112,SINGAPORE-WAREHOUSE,246.125
2024/02/02,MAT-0049,CHINA-WAREHOUSE,148.5
2024/02/02,MAT-0305,SINGAPORE-WAREHOUSE,49.5
2024/02/02,MAT-0104,SINGAPORE-WAREHOUSE,49.5
2024/02/03,MAT-0056,CHINA-WAREHOUSE,123.75
2024/02/03,MAT-0056,SINGAPORE-WAREHOUSE,247.5
